2026-03-28 19:13:33,430 [INFO] werkzeug:  * Restarting with watchdog (windowsapi)
2026-03-28 19:13:42,909 [WARNING] werkzeug:  * Debugger is active!
2026-03-28 19:13:42,948 [INFO] werkzeug:  * Debugger PIN: 536-506-701
2026-03-28 19:27:24,597 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0231s | Status: SUCCESS
2026-03-28 19:27:24,735 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 497} | Time: 0.0189s | Status: SUCCESS
2026-03-28 19:27:24,884 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 494} | Time: 0.0210s | Status: SUCCESS
2026-03-28 19:27:25,028 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0213s | Status: SUCCESS
2026-03-28 19:27:25,177 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0199s | Status: SUCCESS
2026-03-28 19:27:25,329 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0180s | Status: SUCCESS
2026-03-28 19:27:25,525 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0213s | Status: SUCCESS
2026-03-28 19:27:25,627 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0190s | Status: SUCCESS
2026-03-28 19:27:25,812 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0206s | Status: SUCCESS
2026-03-28 19:27:25,927 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0200s | Status: SUCCESS
2026-03-28 19:27:26,079 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0224s | Status: SUCCESS
2026-03-28 19:27:26,245 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0212s | Status: SUCCESS
2026-03-28 19:27:26,378 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0214s | Status: SUCCESS
2026-03-28 19:27:26,532 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0152s | Status: SUCCESS
2026-03-28 19:27:26,705 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0224s | Status: SUCCESS
2026-03-28 19:27:26,840 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0278s | Status: SUCCESS
2026-03-28 19:27:26,992 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0186s | Status: SUCCESS
2026-03-28 19:27:27,127 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0180s | Status: SUCCESS
2026-03-28 19:27:27,278 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0188s | Status: SUCCESS
2026-03-28 19:27:27,447 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0187s | Status: SUCCESS
2026-03-28 19:27:27,624 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0242s | Status: SUCCESS
2026-03-28 19:27:27,727 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0187s | Status: SUCCESS
2026-03-28 19:27:27,907 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0266s | Status: SUCCESS
2026-03-28 19:27:28,031 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0181s | Status: SUCCESS
2026-03-28 19:27:28,183 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0210s | Status: SUCCESS
2026-03-28 19:27:28,352 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0184s | Status: SUCCESS
2026-03-28 19:27:28,470 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0194s | Status: SUCCESS
2026-03-28 19:27:28,662 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0244s | Status: SUCCESS
2026-03-28 19:27:28,788 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0303s | Status: SUCCESS
2026-03-28 19:27:28,977 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0322s | Status: SUCCESS
2026-03-28 19:27:29,072 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0179s | Status: SUCCESS
2026-03-28 19:27:29,225 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0201s | Status: SUCCESS
2026-03-28 19:27:29,424 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0370s | Status: SUCCESS
2026-03-28 19:27:29,524 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0172s | Status: SUCCESS
2026-03-28 19:27:29,669 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0179s | Status: SUCCESS
2026-03-28 19:27:29,846 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0202s | Status: SUCCESS
2026-03-28 19:27:30,016 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0287s | Status: SUCCESS
2026-03-28 19:27:30,130 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0175s | Status: SUCCESS
2026-03-28 19:27:30,315 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0258s | Status: SUCCESS
2026-03-28 19:27:30,450 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0180s | Status: SUCCESS
2026-03-28 19:27:30,575 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0277s | Status: SUCCESS
2026-03-28 19:27:30,765 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0268s | Status: SUCCESS
2026-03-28 19:27:30,876 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0211s | Status: SUCCESS
2026-03-28 19:27:31,058 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.0263s | Status: SUCCESS
